ID,7-zip,,paq8,,bsc,,gzip,,zstd,,bzip2,,zpaq,,cmix,,
,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix,
BuEb,"1,008",1536,1620,1944,484,704,484,704,724,1160,340,32,704,0,1012,2472,
AgPh,0,1512,300,44,496,44,496,496,244,496,244,496,0,0,0,1504,
YeMi,0,276,560,276,560,220,552,220,16,8,276,48,0,0,1204,948,
AeCa,520,0,592,1740,976,0,284,0,284,0,544,0,0,0,0,0,
HePy,0,0,1920,2028,0,0,0,0,0,0,0,0,0,0,0,0,
HaHi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EsCo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PlFa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WaMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ScPo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EnIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DrMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OrSa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DaRe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnCa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GaGa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HoSa,"2,26,856",83860,91280,19760,48444,45152,48944,45292,44672,41936,50252,46308,225280,0,492672,0,
Total,"2,28,384","87,184","96,272","25,792","50,960","46,120","50,760","46,712","45,940","43,600","51,656","46,884","2,25,984",0,"4,94,888","4,924",
