ID,S-7-zip,P-7-zip,S-paq8,P-paq8,S-bsc,P-bsc,S-gzip,P-gzip,S-zstd,P-zstd,S-bzip2,P-bzip2,S-zpaq,P-zpaq,S-cmix,P-cmix
humdyst,752,1064,1064,0,1292,772,284,276,1268,8,1268,8,1856,1248,1708,1248
humprtb,0,244,768,32,544,244,544,520,544,510,276,0,1216,704,768,794
humhdab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humghcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humhbb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mtpacga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chmpxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chntxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mpomtcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaccg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hehcmv,0,1544,632,40,160,260,180,260,80,260,80,268,568,1544,1360,1544
Total ,752,2852,2464,72,1996,1276,1008,1056,1892,778,1624,276,3640,3496,3836,3586
